,,,,,,,,,,
,Air Velocity Meter,AVM-01,*AVM-01*,37080045,Functioning,,AMTEC UPLB,,OFFICE,
,Air Velocity Meter,AVM-02,*AVM-02*,37140039,Functioning,,AMTEC UPLB,,OFFICE,
,Air Velocity Meter,AVM-03,*AVM-03*,37910006,Functioning,,AMTEC UPLB,,OFFICE,
,Air Velocity Meter,AVM-04,*AVM-04*,Q586965,Functioning,,AMTEC UPLB,,OFFICE,
,Air Velocity Meter,AVM-05,*AVM-05*,16440410012,Functioning,,AMTEC UPLB,,OFFICE,
,Air Velocity Meter,AVM-06,*AVM-06*,58140064,Functioning,,Borrowed,Cris Dave Balauag (DEE),OTHERS,
,Air Velocity Meter,AVM-07,*AVM-07*,58140063,Functioning,,AMTEC UPLB,,OFFICE,
,Air Velocity Meter,AVM-08,*AVM-08*,58140062,Functioning,,AMTEC UPLB,,OFFICE,
,Air Velocity Meter,AVM-09,*AVM-09*,58140061,For Repair,Umaangat casing,AMTEC UPLB,,OFFICE,
,Air Velocity Meter,AVM-10,*AVM-10*,58140034,Functioning,,AMTEC UPLB,,OFFICE,
,Air Velocity Meter,AVM-11,*AVM-11*,84641960,Functioning,,AMTEC UPLB,,OFFICE,
,Air Velocity Meter,AVM-12,*AVM-12*,84649930,Functioning,,Borrowed,AFBED,OTHERS,
,Air Velocity Meter,AVM-13,*AVM-13*,84300539,Functioning,for tagging,On trip,,OFFICE,
,Air Velocity Meter,AVM-14,*AVM-14*,84557731,Functioning,for tagging,On trip,,OFFICE,
,Ammeter,AM-01,*AM-01*,42525,Functioning,,AMTEC UPLB,,OFFICE,
,Blood Pressure Monitor,BP-01,*BP-01*,,Functioning,,AMTEC UPLB,Admin,ADMIN,
,Caliper,VC-01,*VC-01*,A16296477,Functioning,,AMTEC UPLB,,GRAIN LAB,
,Caliper,VC-02,*VC-02*,A16296456,Functioning,,AMTEC UPLB,,OFFICE,
,Caliper,VC-03,*VC-03*,,Functioning,,AMTEC UPLB,,OFFICE,
,Caliper,VC-04,*VC-04*,A19042692,Functioning,,AMTEC UPLB,,OFFICE,
,Caliper,VC-05,*VC-05*,,Functioning,,AMTEC UPLB,,OFFICE,
,Caliper,VC-06,*VC-06*,17115154,Functioning,,AMTEC Mindanao,,GYMR,
,Caliper,VC-07,*VC-07*,B20-060521,Functioning,,AMTEC UPLB,,OFFICE,
,Caliper,VC-08,*VC-08*,9416375,Functioning,,AMTEC Mindanao,,GYMR,
,Caliper,VC-09,*VC-09*,9416380,Functioning,,AMTEC UPLB,,OFFICE,
,Caliper,VC-10,*VC-10*,9416364,Functioning,working; need to press battery,AMTEC UPLB,,OFFICE,
,Caliper,VC-11,*VC-11*,9416356,Functioning,,AMTEC UPLB,,OFFICE,
